Time;Date;Day-ahead Total Load Forecast (MV);Total Load (MV)
04:30 - 05:00;04.01.19;29029;28833
05:00 - 05:30;04.01.19;28865;28452
05:30 - 06:00;04.01.19;29022;28595
06:00 - 06:30;04.01.19;29647;29232
06:30 - 07:00;04.01.19;31716;30881
07:00 - 07:30;04.01.19;34857;33783
07:30 - 08:00;04.01.19;38387;36763
08:00 - 08:30;04.01.19;41481;38908
08:30 - 09:00;04.01.19;43244;40906
09:00 - 09:30;04.01.19;44019;43217
09:30 - 10:00;04.01.19;44820;44647
10:00 - 10:30;04.01.19;46152;46065
10:30 - 11:00;04.01.19;46864;47288
11:00 - 11:30;04.01.19;47080;47735
11:30 - 12:00;04.01.19;47243;48039
12:00 - 12:30;04.01.19;47442;47824
12:30 - 13:00;04.01.19;47604;47981
13:00 - 13:30;04.01.19;47553;48451
13:30 - 14:00;04.01.19;47105;48498
14:00 - 14:30;04.01.19;46478;47829
14:30 - 15:00;04.01.19;45918;47236
15:00 - 15:30;04.01.19;45175;47126
15:30 - 16:00;04.01.19;44612;46760
16:00 - 16:30;04.01.19;44786;46786
16:30 - 17:00;04.01.19;45723;47089
17:00 - 17:30;04.01.19;47210;47125
17:30 - 18:00;04.01.19;48391;48247
18:00 - 18:30;04.01.19;48645;49100
18:30 - 19:00;04.01.19;48233;49231
19:00 - 19:30;04.01.19;47627;49589
19:30 - 20:00;04.01.19;46873;49221
20:00 - 20:30;04.01.19;45922;48945
20:30 - 21:00;04.01.19;44705;47801
21:00 - 21:30;04.01.19;43165;45874
21:30 - 22:00;04.01.19;41386;44449
22:00 - 22:30;04.01.19;39375;42015
22:30 - 23:00;04.01.19;37329;40043
23:00 - 23:30;04.01.19;35604;38014
23:30 - 00:00;04.01.19;33838;36240
00:00 - 00:30;05.01.19;32272;34515
00:30 - 01:00;05.01.19;31023;33365
01:00 - 01:30;05.01.19;31169;33397
01:30 - 02:00;05.01.19;31101;33661
02:00 - 02:30;05.01.19;30453;32819
02:30 - 03:00;05.01.19;29685;31819
03:00 - 03:30;05.01.19;29267;30687
03:30 - 04:00;05.01.19;28872;30144
04:00 - 04:30;05.01.19;28301;29285
04:30 - 05:00;05.01.19;27651;28522
05:00 - 05:30;05.01.19;27226;28263
05:30 - 06:00;05.01.19;27221;28126
06:00 - 06:30;05.01.19;27387;28512
06:30 - 07:00;05.01.19;28288;28887
07:00 - 07:30;05.01.19;29671;30926
07:30 - 08:00;05.01.19;31048;32119
08:00 - 08:30;05.01.19;32486;32856
08:30 - 09:00;05.01.19;33989;34217
09:00 - 09:30;05.01.19;35963;36446
09:30 - 10:00;05.01.19;38084;38094
10:00 - 10:30;05.01.19;39628;40972
10:30 - 11:00;05.01.19;40610;41903
11:00 - 11:30;05.01.19;41317;42698
11:30 - 12:00;05.01.19;41716;43063
12:00 - 12:30;05.01.19;41973;43507
12:30 - 13:00;05.01.19;42260;43799
13:00 - 13:30;05.01.19;42365;43940
13:30 - 14:00;05.01.19;42158;43962
14:00 - 14:30;05.01.19;41714;43932
14:30 - 15:00;05.01.19;41186;43876
15:00 - 15:30;05.01.19;40678;43653
15:30 - 16:00;05.01.19;40175;43495
16:00 - 16:30;05.01.19;40247;43629
16:30 - 17:00;05.01.19;41142;44124
17:00 - 17:30;05.01.19;43312;45227
17:30 - 18:00;05.01.19;45045;46613
18:00 - 18:30;05.01.19;45536;47298
18:30 - 19:00;05.01.19;45373;47232
19:00 - 19:30;05.01.19;44476;46852
19:30 - 20:00;05.01.19;43310;46225
20:00 - 20:30;05.01.19;42131;45078
20:30 - 21:00;05.01.19;40831;43630
21:00 - 21:30;05.01.19;39418;42559
21:30 - 22:00;05.01.19;37974;40943
22:00 - 22:30;05.01.19;36455;39752
22:30 - 23:00;05.01.19;34832;38217
23:00 - 23:30;05.01.19;33577;35443
23:30 - 00:00;05.01.19;32146;34103
00:00 - 00:30;06.01.19;30609;33432
00:30 - 01:00;06.01.19;29891;32206
01:00 - 01:30;06.01.19;30440;31774
01:30 - 02:00;06.01.19;30108;31948
02:00 - 02:30;06.01.19;29252;31017
02:30 - 03:00;06.01.19;28352;29893
03:00 - 03:30;06.01.19;27848;28731
03:30 - 04:00;06.01.19;27466;28227
04:00 - 04:30;06.01.19;26974;27436
04:30 - 05:00;06.01.19;26506;26658
05:00 - 05:30;06.01.19;26216;26151
05:30 - 06:00;06.01.19;26155;25828
06:00 - 06:30;06.01.19;26157;25993
06:30 - 07:00;06.01.19;26592;26252
07:00 - 07:30;06.01.19;27199;27019
07:30 - 08:00;06.01.19;27747;27855
08:00 - 08:30;06.01.19;28327;28837
08:30 - 09:00;06.01.19;29134;30028
09:00 - 09:30;06.01.19;30497;32401
09:30 - 10:00;06.01.19;32385;33989
10:00 - 10:30;06.01.19;34433;36031
10:30 - 11:00;06.01.19;36283;37752
11:00 - 11:30;06.01.19;37651;39109
11:30 - 12:00;06.01.19;38479;39920
12:00 - 12:30;06.01.19;39130;40518
12:30 - 13:00;06.01.19;39709;41266
13:00 - 13:30;06.01.19;40108;41669
13:30 - 14:00;06.01.19;40352;41737
14:00 - 14:30;06.01.19;40541;41830
14:30 - 15:00;06.01.19;40337;41655
15:00 - 15:30;06.01.19;40000;41793
15:30 - 16:00;06.01.19;39865;41730
16:00 - 16:30;06.01.19;40184;42024
16:30 - 17:00;06.01.19;41288;42849
17:00 - 17:30;06.01.19;43478;44152
17:30 - 18:00;06.01.19;45099;45681
18:00 - 18:30;06.01.19;45235;46197
18:30 - 19:00;06.01.19;44602;45961
19:00 - 19:30;06.01.19;43827;45696
19:30 - 20:00;06.01.19;42795;45321
20:00 - 20:30;06.01.19;41481;44216
20:30 - 21:00;06.01.19;40241;42843
21:00 - 21:30;06.01.19;38919;41823
21:30 - 22:00;06.01.19;37329;40579
22:00 - 22:30;06.01.19;35441;39114
22:30 - 23:00;06.01.19;33532;37192
23:00 - 23:30;06.01.19;32063;35423
23:30 - 00:00;06.01.19;30416;33416
00:00 - 00:30;07.01.19;28855;31626
00:30 - 01:00;07.01.19;27632;30417
01:00 - 01:30;07.01.19;27610;29794
01:30 - 02:00;07.01.19;27829;29990
02:00 - 02:30;07.01.19;27495;29383
02:30 - 03:00;07.01.19;26948;28801
03:00 - 03:30;07.01.19;26691;28185
03:30 - 04:00;07.01.19;26452;27966
04:00 - 04:30;07.01.19;25964;27749
04:30 - 05:00;07.01.19;25581;27265
05:00 - 05:30;07.01.19;25478;25871
05:30 - 06:00;07.01.19;25752;26002
06:00 - 06:30;07.01.19;26568;25543
06:30 - 07:00;07.01.19;28954;27317
07:00 - 07:30;07.01.19;32384;30808
07:30 - 08:00;07.01.19;36251;33956
08:00 - 08:30;07.01.19;39720;38582
08:30 - 09:00;07.01.19;41333;40790
09:00 - 09:30;07.01.19;41677;42747
09:30 - 10:00;07.01.19;42005;43410
10:00 - 10:30;07.01.19;42499;43803
10:30 - 11:00;07.01.19;42595;44335
11:00 - 11:30;07.01.19;43087;44449
11:30 - 12:00;07.01.19;43917;44655
12:00 - 12:30;07.01.19;44483;44420
12:30 - 13:00;07.01.19;44917;44402
13:00 - 13:30;07.01.19;44929;44297
13:30 - 14:00;07.01.19;44792;44178
14:00 - 14:30;07.01.19;44564;43228
14:30 - 15:00;07.01.19;44322;43068
15:00 - 15:30;07.01.19;44097;42923
15:30 - 16:00;07.01.19;43791;42336
16:00 - 16:30;07.01.19;43993;42360
16:30 - 17:00;07.01.19;44934;43249
17:00 - 17:30;07.01.19;46482;46303
17:30 - 18:00;07.01.19;47838;47977
18:00 - 18:30;07.01.19;48086;48872
18:30 - 19:00;07.01.19;47529;48668
19:00 - 19:30;07.01.19;46864;47946
19:30 - 20:00;07.01.19;46109;47284
20:00 - 20:30;07.01.19;45089;46729
20:30 - 21:00;07.01.19;43794;45431
21:00 - 21:30;07.01.19;42275;43975
21:30 - 22:00;07.01.19;40434;42129
22:00 - 22:30;07.01.19;38155;39722
22:30 - 23:00;07.01.19;35828;37729
23:00 - 23:30;07.01.19;33676;34424
23:30 - 00:00;07.01.19;31507;32335
00:00 - 00:30;08.01.19;29523;31011
00:30 - 01:00;08.01.19;28971;29699
01:00 - 01:30;08.01.19;29658;29186
01:30 - 02:00;08.01.19;29506;29767
02:00 - 02:30;08.01.19;28910;29295
02:30 - 03:00;08.01.19;28272;28486
03:00 - 03:30;08.01.19;27872;27553
03:30 - 04:00;08.01.19;27722;27260
04:00 - 04:30;08.01.19;27427;26323
04:30 - 05:00;08.01.19;27068;25707
05:00 - 05:30;08.01.19;27002;25435
05:30 - 06:00;08.01.19;27687;26102
06:00 - 06:30;08.01.19;28893;28179
06:30 - 07:00;08.01.19;30938;29931
07:00 - 07:30;08.01.19;33794;34428
07:30 - 08:00;08.01.19;37213;37702
08:00 - 08:30;08.01.19;40212;41232
08:30 - 09:00;08.01.19;41405;43007
09:00 - 09:30;08.01.19;41881;43907
09:30 - 10:00;08.01.19;42311;43987
10:00 - 10:30;08.01.19;42996;44558
10:30 - 11:00;08.01.19;43220;44973
11:00 - 11:30;08.01.19;43162;45151
11:30 - 12:00;08.01.19;43418;45515
12:00 - 12:30;08.01.19;43729;45242
12:30 - 13:00;08.01.19;44152;45070
13:00 - 13:30;08.01.19;44213;45090
13:30 - 14:00;08.01.19;44385;44595
14:00 - 14:30;08.01.19;44532;44329
14:30 - 15:00;08.01.19;44220;43835
15:00 - 15:30;08.01.19;43844;44207
15:30 - 16:00;08.01.19;43489;43961
16:00 - 16:30;08.01.19;43706;43165
16:30 - 17:00;08.01.19;44521;44037
17:00 - 17:30;08.01.19;46093;46865
17:30 - 18:00;08.01.19;47829;49236
18:00 - 18:30;08.01.19;48417;50363
18:30 - 19:00;08.01.19;48234;50374
19:00 - 19:30;08.01.19;47833;49904
19:30 - 20:00;08.01.19;47180;49515
20:00 - 20:30;08.01.19;46272;48682
20:30 - 21:00;08.01.19;44973;47159
21:00 - 21:30;08.01.19;43470;46253
21:30 - 22:00;08.01.19;41591;44592
22:00 - 22:30;08.01.19;39246;42414
22:30 - 23:00;08.01.19;36861;40043
23:00 - 23:30;08.01.19;34810;37833
23:30 - 00:00;08.01.19;32826;35625
00:00 - 00:30;09.01.19;30992;33195
00:30 - 01:00;09.01.19;30307;31570
01:00 - 01:30;09.01.19;29604;31048
01:30 - 02:00;09.01.19;29782;31456
02:00 - 02:30;09.01.19;29291;30902
02:30 - 03:00;09.01.19;28738;30200
03:00 - 03:30;09.01.19;28623;29100
03:30 - 04:00;09.01.19;28440;29181
04:00 - 04:30;09.01.19;27925;28475
04:30 - 05:00;09.01.19;27504;27975
05:00 - 05:30;09.01.19;27389;27551
05:30 - 06:00;09.01.19;27834;27849
06:00 - 06:30;09.01.19;28754;29097
06:30 - 07:00;09.01.19;31009;31462
07:00 - 07:30;09.01.19;34390;35809
07:30 - 08:00;09.01.19;38112;39299
08:00 - 08:30;09.01.19;41356;42393
08:30 - 09:00;09.01.19;42886;44385
09:00 - 09:30;09.01.19;43281;45927
09:30 - 10:00;09.01.19;43672;45888
10:00 - 10:30;09.01.19;44408;46756
10:30 - 11:00;09.01.19;44826;47743
11:00 - 11:30;09.01.19;45055;47222
11:30 - 12:00;09.01.19;45340;47156
12:00 - 12:30;09.01.19;45649;47297
12:30 - 13:00;09.01.19;45889;47043
13:00 - 13:30;09.01.19;45880;47106
13:30 - 14:00;09.01.19;45690;46924
14:00 - 14:30;09.01.19;45429;47502
14:30 - 15:00;09.01.19;45109;47145
15:00 - 15:30;09.01.19;44924;47208
15:30 - 16:00;09.01.19;44853;46969
16:00 - 16:30;09.01.19;45418;46845
16:30 - 17:00;09.01.19;46230;47630
17:00 - 17:30;09.01.19;47709;48895
17:30 - 18:00;09.01.19;49228;49286
18:00 - 18:30;09.01.19;49303;49581
18:30 - 19:00;09.01.19;48866;49556
19:00 - 19:30;09.01.19;48747;49604
19:30 - 20:00;09.01.19;48563;49281
20:00 - 20:30;09.01.19;47613;49390
20:30 - 21:00;09.01.19;46156;48995
21:00 - 21:30;09.01.19;44328;47834
21:30 - 22:00;09.01.19;42322;46165
22:00 - 22:30;09.01.19;40139;44124
22:30 - 23:00;09.01.19;37724;41688
23:00 - 23:30;09.01.19;35554;38387
23:30 - 00:00;09.01.19;33344;36233
00:00 - 00:30;10.01.19;31495;34398
00:30 - 01:00;10.01.19;30687;32739
01:00 - 01:30;10.01.19;30587;32654
01:30 - 02:00;10.01.19;30587;33409
02:00 - 02:30;10.01.19;30099;32922
02:30 - 03:00;10.01.19;29522;32083
03:00 - 03:30;10.01.19;29302;31173
03:30 - 04:00;10.01.19;29019;30988
04:00 - 04:30;10.01.19;28437;30711
04:30 - 05:00;10.01.19;27967;30237
05:00 - 05:30;10.01.19;27870;29819
05:30 - 06:00;10.01.19;28290;29894
06:00 - 06:30;10.01.19;29221;30140
06:30 - 07:00;10.01.19;31491;31649
07:00 - 07:30;10.01.19;34844;34034
07:30 - 08:00;10.01.19;38582;36917
08:00 - 08:30;10.01.19;41904;39945
08:30 - 09:00;10.01.19;43643;42079
09:00 - 09:30;10.01.19;44323;43400
09:30 - 10:00;10.01.19;44713;43568
10:00 - 10:30;10.01.19;45057;44466
10:30 - 11:00;10.01.19;45261;44818
11:00 - 11:30;10.01.19;45559;44437
11:30 - 12:00;10.01.19;45796;44704
12:00 - 12:30;10.01.19;45880;44828
12:30 - 13:00;10.01.19;45979;44677
13:00 - 13:30;10.01.19;45956;45260
13:30 - 14:00;10.01.19;45893;45387
14:00 - 14:30;10.01.19;45831;45011
14:30 - 15:00;10.01.19;45766;44554
15:00 - 15:30;10.01.19;45786;43897
15:30 - 16:00;10.01.19;45741;43558
16:00 - 16:30;10.01.19;46119;45183
16:30 - 17:00;10.01.19;47178;46023
17:00 - 17:30;10.01.19;48471;46868
17:30 - 18:00;10.01.19;49268;47056
18:00 - 18:30;10.01.19;49206;46768
18:30 - 19:00;10.01.19;48687;46405
19:00 - 19:30;10.01.19;48172;47339
19:30 - 20:00;10.01.19;47773;47466
20:00 - 20:30;10.01.19;46962;48314
20:30 - 21:00;10.01.19;45443;47823
21:00 - 21:30;10.01.19;43740;45841
21:30 - 22:00;10.01.19;41851;44264
22:00 - 22:30;10.01.19;39592;41267
22:30 - 23:00;10.01.19;37226;39000
23:00 - 23:30;10.01.19;35106;36946
23:30 - 00:00;10.01.19;32970;34830
00:00 - 00:30;11.01.19;31175;33314
00:30 - 01:00;11.01.19;30331;31682
01:00 - 01:30;11.01.19;30338;31986
01:30 - 02:00;11.01.19;30402;32586
02:00 - 02:30;11.01.19;29924;31833
02:30 - 03:00;11.01.19;29328;31175
03:00 - 03:30;11.01.19;29105;30331
03:30 - 04:00;11.01.19;28879;30106
04:00 - 04:30;11.01.19;28332;29562
04:30 - 05:00;11.01.19;27895;29485
05:00 - 05:30;11.01.19;27616;28417
05:30 - 06:00;11.01.19;27898;28494
06:00 - 06:30;11.01.19;28847;28428
06:30 - 07:00;11.01.19;31156;29887
07:00 - 07:30;11.01.19;34488;32524
07:30 - 08:00;11.01.19;38149;35980
08:00 - 08:30;11.01.19;41493;39494
08:30 - 09:00;11.01.19;43350;41585
09:00 - 09:30;11.01.19;43839;43399
09:30 - 10:00;11.01.19;44113;43498
10:00 - 10:30;11.01.19;44632;44615
10:30 - 11:00;11.01.19;44854;44854
11:00 - 11:30;11.01.19;45064;45708
11:30 - 12:00;11.01.19;45080;45665
12:00 - 12:30;11.01.19;44981;46550
12:30 - 13:00;11.01.19;45074;46638
13:00 - 13:30;11.01.19;45135;46615
13:30 - 14:00;11.01.19;44982;46343
14:00 - 14:30;11.01.19;44724;46404
14:30 - 15:00;11.01.19;44429;46030
15:00 - 15:30;11.01.19;44050;44956
15:30 - 16:00;11.01.19;43478;44360
16:00 - 16:30;11.01.19;43604;44128
16:30 - 17:00;11.01.19;44115;44575
17:00 - 17:30;11.01.19;45351;47517
17:30 - 18:00;11.01.19;46686;49265
18:00 - 18:30;11.01.19;46822;49936
18:30 - 19:00;11.01.19;46199;49460
19:00 - 19:30;11.01.19;45340;47827
19:30 - 20:00;11.01.19;44633;47405
20:00 - 20:30;11.01.19;43679;46541
20:30 - 21:00;11.01.19;42522;45181
21:00 - 21:30;11.01.19;41128;43448
21:30 - 22:00;11.01.19;39387;41870
22:00 - 22:30;11.01.19;37565;38963
22:30 - 23:00;11.01.19;35518;36921
23:00 - 23:30;11.01.19;33748;34744
23:30 - 00:00;11.01.19;32084;33382
00:00 - 00:30;12.01.19;30636;33433
00:30 - 01:00;12.01.19;29780;32553
01:00 - 01:30;12.01.19;29714;31895
01:30 - 02:00;12.01.19;29659;31772
02:00 - 02:30;12.01.19;28966;31234
02:30 - 03:00;12.01.19;28290;30539
03:00 - 03:30;12.01.19;28043;29522
03:30 - 04:00;12.01.19;27720;28707
04:00 - 04:30;12.01.19;27048;27282
04:30 - 05:00;12.01.19;26516;26538
05:00 - 05:30;12.01.19;26260;25541
05:30 - 06:00;12.01.19;26231;25448
06:00 - 06:30;12.01.19;26376;25870
06:30 - 07:00;12.01.19;27189;26283
07:00 - 07:30;12.01.19;28362;28438
07:30 - 08:00;12.01.19;29737;29724
08:00 - 08:30;12.01.19;31238;30383
08:30 - 09:00;12.01.19;32775;31788
09:00 - 09:30;12.01.19;34601;33542
09:30 - 10:00;12.01.19;36334;35442
10:00 - 10:30;12.01.19;37656;38966
10:30 - 11:00;12.01.19;38447;40024
11:00 - 11:30;12.01.19;39099;41357
11:30 - 12:00;12.01.19;39654;41729
12:00 - 12:30;12.01.19;40181;42268
12:30 - 13:00;12.01.19;40329;42517
13:00 - 13:30;12.01.19;40130;42827
13:30 - 14:00;12.01.19;40056;42665
14:00 - 14:30;12.01.19;39793;42410
14:30 - 15:00;12.01.19;39413;41890
15:00 - 15:30;12.01.19;39068;41448
15:30 - 16:00;12.01.19;38837;41028
16:00 - 16:30;12.01.19;38979;41074
16:30 - 17:00;12.01.19;39707;41381
17:00 - 17:30;12.01.19;41361;42870
17:30 - 18:00;12.01.19;42948;44671
18:00 - 18:30;12.01.19;43583;45611
18:30 - 19:00;12.01.19;43368;45967
19:00 - 19:30;12.01.19;42500;45733
19:30 - 20:00;12.01.19;41420;44830
20:00 - 20:30;12.01.19;40265;43746
20:30 - 21:00;12.01.19;39110;42255
21:00 - 21:30;12.01.19;37823;41084
21:30 - 22:00;12.01.19;36313;39743
22:00 - 22:30;12.01.19;34794;37332
22:30 - 23:00;12.01.19;33173;35860
23:00 - 23:30;12.01.19;31908;33429
23:30 - 00:00;12.01.19;30645;32203
00:00 - 00:30;13.01.19;29316;31713
00:30 - 01:00;13.01.19;28781;30524
01:00 - 01:30;13.01.19;28639;29566
01:30 - 02:00;13.01.19;28446;29716
02:00 - 02:30;13.01.19;27727;29754
02:30 - 03:00;13.01.19;26925;27306
03:00 - 03:30;13.01.19;26545;26074
03:30 - 04:00;13.01.19;26225;25575
04:00 - 04:30;13.01.19;25568;24228
04:30 - 05:00;13.01.19;25006;23694
05:00 - 05:30;13.01.19;24631;23301
05:30 - 06:00;13.01.19;24393;23074
06:00 - 06:30;13.01.19;24416;23091
06:30 - 07:00;13.01.19;24935;23286
07:00 - 07:30;13.01.19;25716;24461
07:30 - 08:00;13.01.19;26583;25478
08:00 - 08:30;13.01.19;27529;27689
08:30 - 09:00;13.01.19;28742;28788
09:00 - 09:30;13.01.19;30500;30906
09:30 - 10:00;13.01.19;32270;32777
10:00 - 10:30;13.01.19;33835;35671
10:30 - 11:00;13.01.19;35166;37123
11:00 - 11:30;13.01.19;36195;38713
11:30 - 12:00;13.01.19;36912;39494
12:00 - 12:30;13.01.19;37524;40178
12:30 - 13:00;13.01.19;37907;40775
13:00 - 13:30;13.01.19;38151;41459
13:30 - 14:00;13.01.19;38334;41580
14:00 - 14:30;13.01.19;38308;41453
14:30 - 15:00;13.01.19;38123;41142
15:00 - 15:30;13.01.19;37994;41196
15:30 - 16:00;13.01.19;38099;40967
16:00 - 16:30;13.01.19;38595;41162
16:30 - 17:00;13.01.19;39715;41761
17:00 - 17:30;13.01.19;41619;43113
17:30 - 18:00;13.01.19;43361;45392
18:00 - 18:30;13.01.19;43736;45940
18:30 - 19:00;13.01.19;43396;46032
19:00 - 19:30;13.01.19;42774;45283
19:30 - 20:00;13.01.19;41654;44369
20:00 - 20:30;13.01.19;40410;43531
20:30 - 21:00;13.01.19;39330;42370
21:00 - 21:30;13.01.19;38029;41238
21:30 - 22:00;13.01.19;36467;39692
22:00 - 22:30;13.01.19;34722;38332
22:30 - 23:00;13.01.19;32868;36399
23:00 - 23:30;13.01.19;31218;34230
23:30 - 00:00;13.01.19;29409;32548
00:00 - 00:30;14.01.19;27935;30255
00:30 - 01:00;14.01.19;27413;28639
01:00 - 01:30;14.01.19;27262;28575
01:30 - 02:00;14.01.19;27392;28981
02:00 - 02:30;14.01.19;27008;28762
02:30 - 03:00;14.01.19;26396;28226
03:00 - 03:30;14.01.19;26146;27829
03:30 - 04:00;14.01.19;25961;27597
04:00 - 04:30;14.01.19;25445;27506
