Time;Date;Day-ahead Total Load Forecast (MV);Total Load (MV)
00:00 - 00:30;01.01.19;27317;27264
00:30 - 01:00;01.01.19;27303;26873
01:00 - 01:30;01.01.19;27975;27480
01:30 - 02:00;01.01.19;28315;28183
02:00 - 02:30;01.01.19;27455;28156
02:30 - 03:00;01.01.19;26264;27112
03:00 - 03:30;01.01.19;25365;25592
03:30 - 04:00;01.01.19;24617;24777
04:00 - 04:30;01.01.19;23756;22916
04:30 - 05:00;01.01.19;23033;22501
05:00 - 05:30;01.01.19;22663;21754
05:30 - 06:00;01.01.19;22474;21475
06:00 - 06:30;01.01.19;22422;21400
06:30 - 07:00;01.01.19;22830;21653
07:00 - 07:30;01.01.19;23326;22323
07:30 - 08:00;01.01.19;23691;22955
08:00 - 08:30;01.01.19;23907;24677
08:30 - 09:00;01.01.19;24126;25374
09:00 - 09:30;01.01.19;24952;26271
09:30 - 10:00;01.01.19;26305;27124
10:00 - 10:30;01.01.19;27750;29186
10:30 - 11:00;01.01.19;29136;30632
11:00 - 11:30;01.01.19;30481;32378
11:30 - 12:00;01.01.19;31768;33661
12:00 - 12:30;01.01.19;32901;34862
12:30 - 13:00;01.01.19;33644;35573
13:00 - 13:30;01.01.19;33947;36150
13:30 - 14:00;01.01.19;34378;36389
14:00 - 14:30;01.01.19;34758;36385
14:30 - 15:00;01.01.19;34650;36030
15:00 - 15:30;01.01.19;34431;35980
15:30 - 16:00;01.01.19;34339;35943
16:00 - 16:30;01.01.19;34755;36105
16:30 - 17:00;01.01.19;35818;36682
17:00 - 17:30;01.01.19;37942;38300
17:30 - 18:00;01.01.19;39658;40361
18:00 - 18:30;01.01.19;39979;41261
18:30 - 19:00;01.01.19;39447;41254
19:00 - 19:30;01.01.19;38781;40905
19:30 - 20:00;01.01.19;38001;40171
20:00 - 20:30;01.01.19;36876;39502
20:30 - 21:00;01.01.19;35908;38493
21:00 - 21:30;01.01.19;34832;37598
21:30 - 22:00;01.01.19;33736;36475
22:00 - 22:30;01.01.19;32569;35227
22:30 - 23:00;01.01.19;31114;33776
23:00 - 23:30;01.01.19;29712;31155
23:30 - 00:00;01.01.19;28258;29799
00:00 - 00:30;02.01.19;26832;28884
00:30 - 01:00;02.01.19;26210;27692
01:00 - 01:30;02.01.19;26606;27879
01:30 - 02:00;02.01.19;26706;28239
02:00 - 02:30;02.01.19;26261;27812
02:30 - 03:00;02.01.19;25786;27071
03:00 - 03:30;02.01.19;25656;26414
03:30 - 04:00;02.01.19;25572;26230
04:00 - 04:30;02.01.19;25276;25667
04:30 - 05:00;02.01.19;25033;25259
05:00 - 05:30;02.01.19;25023;25018
05:30 - 06:00;02.01.19;25512;25126
06:00 - 06:30;02.01.19;26432;25966
06:30 - 07:00;02.01.19;28378;27455
07:00 - 07:30;02.01.19;30986;31192
07:30 - 08:00;02.01.19;33542;33518
08:00 - 08:30;02.01.19;35704;34116
08:30 - 09:00;02.01.19;37463;35608
09:00 - 09:30;02.01.19;39522;39193
09:30 - 10:00;02.01.19;41136;40873
10:00 - 10:30;02.01.19;42160;42431
10:30 - 11:00;02.01.19;42792;43230
11:00 - 11:30;02.01.19;43391;44374
11:30 - 12:00;02.01.19;43908;44703
12:00 - 12:30;02.01.19;44240;44984
12:30 - 13:00;02.01.19;44456;44980
13:00 - 13:30;02.01.19;44416;45141
13:30 - 14:00;02.01.19;44238;45197
14:00 - 14:30;02.01.19;44047;45260
14:30 - 15:00;02.01.19;43585;45098
15:00 - 15:30;02.01.19;42891;45131
15:30 - 16:00;02.01.19;42543;45185
16:00 - 16:30;02.01.19;42997;44318
16:30 - 17:00;02.01.19;44134;45074
17:00 - 17:30;02.01.19;46063;46578
17:30 - 18:00;02.01.19;47790;47680
18:00 - 18:30;02.01.19;48485;48282
18:30 - 19:00;02.01.19;48447;48282
19:00 - 19:30;02.01.19;47989;48137
19:30 - 20:00;02.01.19;47277;47788
20:00 - 20:30;02.01.19;45998;47432
20:30 - 21:00;02.01.19;44570;46143
21:00 - 21:30;02.01.19;43182;44728
21:30 - 22:00;02.01.19;41486;43055
22:00 - 22:30;02.01.19;39473;41705
22:30 - 23:00;02.01.19;37239;39760
23:00 - 23:30;02.01.19;35211;37784
23:30 - 00:00;02.01.19;33041;35821
00:00 - 00:30;03.01.19;31262;33433
00:30 - 01:00;03.01.19;30460;31746
01:00 - 01:30;03.01.19;30614;31301
01:30 - 02:00;03.01.19;30718;31768
02:00 - 02:30;03.01.19;30117;31378
02:30 - 03:00;03.01.19;29353;30501
03:00 - 03:30;03.01.19;29135;29285
03:30 - 04:00;03.01.19;29104;28988
04:00 - 04:30;03.01.19;28683;28419
04:30 - 05:00;03.01.19;28358;27912
05:00 - 05:30;03.01.19;28159;27646
05:30 - 06:00;03.01.19;28441;27735
06:00 - 06:30;03.01.19;29125;28438
06:30 - 07:00;03.01.19;31051;30199
07:00 - 07:30;03.01.19;34052;32953
07:30 - 08:00;03.01.19;37435;35464
08:00 - 08:30;03.01.19;40391;37991
08:30 - 09:00;03.01.19;41898;39831
09:00 - 09:30;03.01.19;42610;41866
09:30 - 10:00;03.01.19;43345;43152
10:00 - 10:30;03.01.19;44479;44017
10:30 - 11:00;03.01.19;45228;44542
11:00 - 11:30;03.01.19;45612;44818
11:30 - 12:00;03.01.19;45906;45318
12:00 - 12:30;03.01.19;46153;45771
12:30 - 13:00;03.01.19;46299;45871
13:00 - 13:30;03.01.19;46374;45850
13:30 - 14:00;03.01.19;46315;45572
14:00 - 14:30;03.01.19;46183;45699
14:30 - 15:00;03.01.19;45946;46176
15:00 - 15:30;03.01.19;45563;46735
15:30 - 16:00;03.01.19;45186;46661
16:00 - 16:30;03.01.19;45578;47441
16:30 - 17:00;03.01.19;46717;47870
17:00 - 17:30;03.01.19;48383;48224
17:30 - 18:00;03.01.19;49755;48106
18:00 - 18:30;03.01.19;49855;48258
18:30 - 19:00;03.01.19;49546;48281
19:00 - 19:30;03.01.19;49288;48174
19:30 - 20:00;03.01.19;48806;48323
20:00 - 20:30;03.01.19;47880;48673
20:30 - 21:00;03.01.19;46448;47865
21:00 - 21:30;03.01.19;44673;46440
21:30 - 22:00;03.01.19;42759;44991
22:00 - 22:30;03.01.19;40707;43080
22:30 - 23:00;03.01.19;38469;40999
23:00 - 23:30;03.01.19;36335;38647
23:30 - 00:00;03.01.19;34035;36541
00:00 - 00:30;04.01.19;32224;34227
00:30 - 01:00;04.01.19;31259;32156
01:00 - 01:30;04.01.19;31680;31746
01:30 - 02:00;04.01.19;31599;32191
02:00 - 02:30;04.01.19;30998;31376
02:30 - 03:00;04.01.19;30308;30366
03:00 - 03:30;04.01.19;30087;29763
03:30 - 04:00;04.01.19;29844;29577
04:00 - 04:30;04.01.19;29359;29244
