21:00 - 21:30;47402;49450
21:30 - 22:00;45425;47588
22:00 - 22:30;43131;45806
22:30 - 23:00;40800;43550
23:00 - 23:30;38637;41617
23:30 - 00:00;36175;39648
00:00 - 00:30;34057;37232
00:30 - 01:00;33032;35752
01:00 - 01:30;32101;34927
01:30 - 02:00;32134;34876
02:00 - 02:30;31830;33709
02:30 - 03:00;31318;32423
03:00 - 03:30;31092;31524
03:30 - 04:00;30853;31342
04:00 - 04:30;30355;30629
04:30 - 05:00;29893;30014
05:00 - 05:30;29661;29756
05:30 - 06:00;29903;29901
06:00 - 06:30;30701;30717
06:30 - 07:00;32917;32533
07:00 - 07:30;36404;37004
07:30 - 08:00;40386;40712
08:00 - 08:30;43887;44610
08:30 - 09:00;45788;46664
09:00 - 09:30;46304;47841
09:30 - 10:00;46701;48048
10:00 - 10:30;47315;48938
10:30 - 11:00;47495;49239
11:00 - 11:30;47610;49291
11:30 - 12:00;47715;49522
12:00 - 12:30;47828;49672
12:30 - 13:00;48020;49901
13:00 - 13:30;48028;50108
13:30 - 14:00;47913;50536
14:00 - 14:30;47715;49878
14:30 - 15:00;47664;49747
15:00 - 15:30;47695;49931
15:30 - 16:00;47675;49756
16:00 - 16:30;48013;49816
16:30 - 17:00;49410;50948
17:00 - 17:30;51901;52872
17:30 - 18:00;54258;54654
18:00 - 18:30;54338;55095
18:30 - 19:00;53417;55179
19:00 - 19:30;53288;55117
19:30 - 20:00;52605;54402
20:00 - 20:30;51109;53485
20:30 - 21:00;49588;51041
21:00 - 21:30;47709;49689
21:30 - 22:00;45672;48237
22:00 - 22:30;43650;46233
22:30 - 23:00;41223;43753
23:00 - 23:30;39070;41622
23:30 - 00:00;36810;39564
00:00 - 00:30;34683;37248
00:30 - 01:00;33541;35967
01:00 - 01:30;32784;34790
01:30 - 02:00;33021;34389
02:00 - 02:30;32556;33436
02:30 - 03:00;31890;32406
03:00 - 03:30;31593;31628
03:30 - 04:00;31261;31338
04:00 - 04:30;30422;30781
04:30 - 05:00;29633;30182
05:00 - 05:30;29121;29895
05:30 - 06:00;29400;30041
06:00 - 06:30;30314;30738
06:30 - 07:00;32439;32428
07:00 - 07:30;35709;36771
07:30 - 08:00;39621;40644
08:00 - 08:30;43291;44596
08:30 - 09:00;45288;46809
09:00 - 09:30;45912;47938
09:30 - 10:00;46221;48082
10:00 - 10:30;46708;48949
10:30 - 11:00;46876;49229
11:00 - 11:30;47534;49240
11:30 - 12:00;47971;49331
12:00 - 12:30;47801;49557
12:30 - 13:00;47944;49548
13:00 - 13:30;47946;49663
13:30 - 14:00;47712;49556
14:00 - 14:30;47523;49506
14:30 - 15:00;47521;49459
15:00 - 15:30;47591;49579
15:30 - 16:00;47671;49563
16:00 - 16:30;47985;49500
16:30 - 17:00;49302;50770
17:00 - 17:30;51750;53316
17:30 - 18:00;53589;54863
18:00 - 18:30;53858;55130
18:30 - 19:00;53622;54649
19:00 - 19:30;53228;54081
19:30 - 20:00;52405;53850
20:00 - 20:30;50926;52918
20:30 - 21:00;49293;51700
21:00 - 21:30;47375;50069
21:30 - 22:00;45197;48214
22:00 - 22:30;42844;46200
22:30 - 23:00;40571;43917
23:00 - 23:30;38568;41795
23:30 - 00:00;36463;39677
00:00 - 00:30;34310;36890
00:30 - 01:00;33266;35159
01:00 - 01:30;33485;33844
01:30 - 02:00;33524;33265
02:00 - 02:30;33003;32350
02:30 - 03:00;32287;31558
03:00 - 03:30;31811;30892
03:30 - 04:00;31319;30689
04:00 - 04:30;30446;30499
04:30 - 05:00;29761;29939
05:00 - 05:30;29544;29819
05:30 - 06:00;29915;29964
06:00 - 06:30;30772;30471
06:30 - 07:00;33156;31917
07:00 - 07:30;36645;36215
